city_code,city,district_code,district,city_district
65000,新北市,65000010,板橋區,新北市板橋區
65000,新北市,65000020,三重區,新北市三重區
65000,新北市,65000030,中和區,新北市中和區
65000,新北市,65000040,永和區,新北市永和區
65000,新北市,65000050,新莊區,新北市新莊區
65000,新北市,65000060,新店區,新北市新店區
65000,新北市,65000070,樹林區,新北市樹林區
65000,新北市,65000080,鶯歌區,新北市鶯歌區
65000,新北市,65000090,三峽區,新北市三峽區
65000,新北市,65000100,淡水區,新北市淡水區
65000,新北市,65000110,汐止區,新北市汐止區
65000,新北市,65000120,瑞芳區,新北市瑞芳區
65000,新北市,65000130,土城區,新北市土城區
65000,新北市,65000140,蘆洲區,新北市蘆洲區
65000,新北市,65000150,五股區,新北市五股區
65000,新北市,65000160,泰山區,新北市泰山區
65000,新北市,65000170,林口區,新北市林口區
65000,新北市,65000180,深坑區,新北市深坑區
65000,新北市,65000190,石碇區,新北市石碇區
65000,新北市,65000200,坪林區,新北市坪林區
65000,新北市,65000210,三芝區,新北市三芝區
65000,新北市,65000220,石門區,新北市石門區
65000,新北市,65000230,八里區,新北市八里區
65000,新北市,65000240,平溪區,新北市平溪區
65000,新北市,65000250,雙溪區,新北市雙溪區
65000,新北市,65000260,貢寮區,新北市貢寮區
65000,新北市,65000270,金山區,新北市金山區
65000,新北市,65000280,萬里區,新北市萬里區
65000,新北市,65000290,烏來區,新北市烏來區
63000,臺北市,63000010,松山區,臺北市松山區
63000,臺北市,63000020,信義區,臺北市信義區
63000,臺北市,63000030,大安區,臺北市大安區
63000,臺北市,63000040,中山區,臺北市中山區
63000,臺北市,63000050,中正區,臺北市中正區
63000,臺北市,63000060,大同區,臺北市大同區
63000,臺北市,63000070,萬華區,臺北市萬華區
63000,臺北市,63000080,文山區,臺北市文山區
63000,臺北市,63000090,南港區,臺北市南港區
63000,臺北市,63000100,內湖區,臺北市內湖區
63000,臺北市,63000110,士林區,臺北市士林區
63000,臺北市,63000120,北投區,臺北市北投區
68000,桃園市,68000010,桃園區,桃園市桃園區
68000,桃園市,68000020,中壢區,桃園市中壢區
68000,桃園市,68000030,大溪區,桃園市大溪區
68000,桃園市,68000040,楊梅區,桃園市楊梅區
68000,桃園市,68000050,蘆竹區,桃園市蘆竹區
68000,桃園市,68000060,大園區,桃園市大園區
68000,桃園市,68000070,龜山區,桃園市龜山區
68000,桃園市,68000080,八德區,桃園市八德區
68000,桃園市,68000090,龍潭區,桃園市龍潭區
68000,桃園市,68000100,平鎮區,桃園市平鎮區
68000,桃園市,68000110,新屋區,桃園市新屋區
68000,桃園市,68000120,觀音區,桃園市觀音區
68000,桃園市,68000130,復興區,桃園市復興區
66000,臺中市,66000010,中區,臺中市中區
66000,臺中市,66000020,東區,臺中市東區
66000,臺中市,66000030,南區,臺中市南區
66000,臺中市,66000040,西區,臺中市西區
66000,臺中市,66000050,北區,臺中市北區
66000,臺中市,66000060,西屯區,臺中市西屯區
66000,臺中市,66000070,南屯區,臺中市南屯區
66000,臺中市,66000080,北屯區,臺中市北屯區
66000,臺中市,66000090,豐原區,臺中市豐原區
66000,臺中市,66000100,東勢區,臺中市東勢區
66000,臺中市,66000110,大甲區,臺中市大甲區
66000,臺中市,66000120,清水區,臺中市清水區
66000,臺中市,66000130,沙鹿區,臺中市沙鹿區
66000,臺中市,66000140,梧棲區,臺中市梧棲區
66000,臺中市,66000150,后里區,臺中市后里區
66000,臺中市,66000160,神岡區,臺中市神岡區
66000,臺中市,66000170,潭子區,臺中市潭子區
66000,臺中市,66000180,大雅區,臺中市大雅區
66000,臺中市,66000190,新社區,臺中市新社區
66000,臺中市,66000200,石岡區,臺中市石岡區
66000,臺中市,66000210,外埔區,臺中市外埔區
66000,臺中市,66000220,大安區,臺中市大安區
66000,臺中市,66000230,烏日區,臺中市烏日區
66000,臺中市,66000240,大肚區,臺中市大肚區
66000,臺中市,66000250,龍井區,臺中市龍井區
66000,臺中市,66000260,霧峰區,臺中市霧峰區
66000,臺中市,66000270,太平區,臺中市太平區
66000,臺中市,66000280,大里區,臺中市大里區
66000,臺中市,66000290,和平區,臺中市和平區
67000,臺南市,67000010,新營區,臺南市新營區
67000,臺南市,67000020,鹽水區,臺南市鹽水區
67000,臺南市,67000030,白河區,臺南市白河區
67000,臺南市,67000040,柳營區,臺南市柳營區
67000,臺南市,67000050,後壁區,臺南市後壁區
67000,臺南市,67000060,東山區,臺南市東山區
67000,臺南市,67000070,麻豆區,臺南市麻豆區
67000,臺南市,67000080,下營區,臺南市下營區
67000,臺南市,67000090,六甲區,臺南市六甲區
67000,臺南市,67000100,官田區,臺南市官田區
67000,臺南市,67000110,大內區,臺南市大內區
67000,臺南市,67000120,佳里區,臺南市佳里區
67000,臺南市,67000130,學甲區,臺南市學甲區
67000,臺南市,67000140,西港區,臺南市西港區
67000,臺南市,67000150,七股區,臺南市七股區
67000,臺南市,67000160,將軍區,臺南市將軍區
67000,臺南市,67000170,北門區,臺南市北門區
67000,臺南市,67000180,新化區,臺南市新化區
67000,臺南市,67000190,善化區,臺南市善化區
67000,臺南市,67000200,新市區,臺南市新市區
67000,臺南市,67000210,安定區,臺南市安定區
67000,臺南市,67000220,山上區,臺南市山上區
67000,臺南市,67000230,玉井區,臺南市玉井區
67000,臺南市,67000240,楠西區,臺南市楠西區
67000,臺南市,67000250,南化區,臺南市南化區
67000,臺南市,67000260,左鎮區,臺南市左鎮區
67000,臺南市,67000270,仁德區,臺南市仁德區
67000,臺南市,67000280,歸仁區,臺南市歸仁區
67000,臺南市,67000290,關廟區,臺南市關廟區
67000,臺南市,67000300,龍崎區,臺南市龍崎區
67000,臺南市,67000310,永康區,臺南市永康區
67000,臺南市,67000320,東區,臺南市東區
67000,臺南市,67000330,南區,臺南市南區
67000,臺南市,67000340,北區,臺南市北區
67000,臺南市,67000350,安南區,臺南市安南區
67000,臺南市,67000360,安平區,臺南市安平區
67000,臺南市,67000370,中西區,臺南市中西區
64000,高雄市,64000010,鹽埕區,高雄市鹽埕區
64000,高雄市,64000020,鼓山區,高雄市鼓山區
64000,高雄市,64000030,左營區,高雄市左營區
64000,高雄市,64000040,楠梓區,高雄市楠梓區
64000,高雄市,64000050,三民區,高雄市三民區
64000,高雄市,64000060,新興區,高雄市新興區
64000,高雄市,64000070,前金區,高雄市前金區
64000,高雄市,64000080,苓雅區,高雄市苓雅區
64000,高雄市,64000090,前鎮區,高雄市前鎮區
64000,高雄市,64000100,旗津區,高雄市旗津區
64000,高雄市,64000110,小港區,高雄市小港區
64000,高雄市,64000120,鳳山區,高雄市鳳山區
64000,高雄市,64000130,林園區,高雄市林園區
64000,高雄市,64000140,大寮區,高雄市大寮區
64000,高雄市,64000150,大樹區,高雄市大樹區
64000,高雄市,64000160,大社區,高雄市大社區
64000,高雄市,64000170,仁武區,高雄市仁武區
64000,高雄市,64000180,鳥松區,高雄市鳥松區
64000,高雄市,64000190,岡山區,高雄市岡山區
64000,高雄市,64000200,橋頭區,高雄市橋頭區
64000,高雄市,64000210,燕巢區,高雄市燕巢區
64000,高雄市,64000220,田寮區,高雄市田寮區
64000,高雄市,64000230,阿蓮區,高雄市阿蓮區
64000,高雄市,64000240,路竹區,高雄市路竹區
64000,高雄市,64000250,湖內區,高雄市湖內區
64000,高雄市,64000260,茄萣區,高雄市茄萣區
64000,高雄市,64000270,永安區,高雄市永安區
64000,高雄市,64000280,彌陀區,高雄市彌陀區
64000,高雄市,64000290,梓官區,高雄市梓官區
64000,高雄市,64000300,旗山區,高雄市旗山區
64000,高雄市,64000310,美濃區,高雄市美濃區
64000,高雄市,64000320,六龜區,高雄市六龜區
64000,高雄市,64000330,甲仙區,高雄市甲仙區
64000,高雄市,64000340,杉林區,高雄市杉林區
64000,高雄市,64000350,內門區,高雄市內門區
64000,高雄市,64000360,茂林區,高雄市茂林區
64000,高雄市,64000370,桃源區,高雄市桃源區
64000,高雄市,64000380,那瑪夏區,高雄市那瑪夏區
10002,宜蘭縣,10002010,宜蘭市,宜蘭縣宜蘭市
10002,宜蘭縣,10002020,羅東鎮,宜蘭縣羅東鎮
10002,宜蘭縣,10002030,蘇澳鎮,宜蘭縣蘇澳鎮
10002,宜蘭縣,10002040,頭城鎮,宜蘭縣頭城鎮
10002,宜蘭縣,10002050,礁溪鄉,宜蘭縣礁溪鄉
